DestCityName,TotalVoos
"Huntsville, AL",11275
"Columbia, SC",11430
"Harrisburg, PA",11486
"Wichita, KS",11867
"Burlington, VT",11995
"Myrtle Beach, SC",12095
"Palm Springs, CA",12460
"Lexington, KY",12482
"White Plains, NY",12623
"Fresno, CA",12662
"Pensacola, FL",12864
"Lihue, HI",14064
"Portland, ME",14656
"Little Rock, AR",15242
"Kona, HI",15484
"Fayetteville, AR",15710
"Long Beach, CA",16023
"Madison, WI",16259
"Dayton, OH",16723
"Albany, NY",17632
"Syracuse, NY",17775
"Greer, SC",18221
"Tulsa, OK",18492
"Des Moines, IA",18536
"Greensboro/High Point, NC",18651
"Savannah, GA",18817
"Rochester, NY",18943
"El Paso, TX",19726
"Anchorage, AK",19727
"Providence, RI",19856
"Tucson, AZ",19869
"Birmingham, AL",20857
"Knoxville, TN",21191
"Grand Rapids, MI",21923
"Spokane, WA",22191
"Ontario, CA",23182
"Reno, NV",23601
"Boise, ID",25500
"Oklahoma City, OK",25965
"West Palm Beach/Palm Beach, FL",26099
"Albuquerque, NM",26447
"San Juan, PR",26831
"Norfolk, VA",27099
"Kahului, HI",27323
"Omaha, NE",27447
"Charleston, SC",27545
"Memphis, TN",27660
"Louisville, KY",28327
"Buffalo, NY",28765
"Richmond, VA",29173
"Hartford, CT",29538
"Burbank, CA",32481
"Fort Myers, FL",34474
"Milwaukee, WI",35184
"Jacksonville, FL",35517
"San Antonio, TX",42433
"Santa Ana, CA",44570
"Pittsburgh, PA",50762
"Columbus, OH",51333
"Cincinnati, OH",51821
"Indianapolis, IN",51849
"Cleveland, OH",52172
"Oakland, CA",53659
"Kansas City, MO",56002
"Honolulu, HI",56562
"Sacramento, CA",57282
"New Orleans, LA",58358
"Austin, TX",67187
"Raleigh/Durham, NC",70321
"San Jose, CA",70567
"Dallas, TX",74764
"St. Louis, MO",75702
"Tampa, FL",77287
"Nashville, TN",83818
"Portland, OR",86655
"Miami, FL",89202
"Fort Lauderdale, FL",98451
"San Diego, CA",99277
"Baltimore, MD",105674
"Salt Lake City, UT",121012
"Orlando, FL",143129
"Boston, MA",152713
"Philadelphia, PA",156908
"Newark, NJ",158804
"Minneapolis, MN",161885
"Las Vegas, NV",168516
"San Francisco, CA",176253
"Detroit, MI",176530
"Phoenix, AZ",184171
"Seattle, WA",192978
"Washington, DC",236945
"Houston, TX",240422
"Los Angeles, CA",248988
"Charlotte, NC",256431
"Denver, CO",286946
"New York, NY",299199
"Dallas/Fort Worth, TX",304811
"Atlanta, GA",395670
"Chicago, IL",485760
